#,ERL #,Area of Focus,Documentation Artifact,Artifact Description,SCF Control Mappings,"Relevant
CMMC 2.0 L2 Control"
1,E-GOV-01,Cybersecurity & Data Protection Management,Charter - Cybersecurity Program,Documented evidence of a charter to establish and resource the organization's cybersecurity program.,GOV-01,
2,E-GOV-02,Cybersecurity & Data Protection Management,Charter - Data Privacy Program,Documented evidence of a charter to establish and resource the organization's data privacy program.,"GOV-01
PRI-01",
3,E-GOV-03,Cybersecurity & Data Protection Management,Charter - Cybersecurity Steering Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of cybersecurity management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.1
GOV-01.2",
4,E-GOV-04,Cybersecurity & Data Protection Management,Charter - Data Privacy Steering Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of privacy management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
5,E-GOV-05,Cybersecurity & Data Protection Management,Charter - Audit Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of internal and external audit management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
6,E-GOV-06,Cybersecurity & Data Protection Management,Charter - Risk Committee,"Documented evidence of an executive steering committee, or advisory board, that is formed to perform oversight of risk management decisions and is comprised of key cybersecurity, technology, risk, privacy and business executives.","GOV-01.2
CPL-02",
7,E-GOV-07,Cybersecurity & Data Protection Management,Charter - Data Management Board (DMB),Documented evidence of the organization's Data Management Board (DMB) charter and mission.,GOV-01.2,
8,E-GOV-08,Cybersecurity & Data Protection Management,Cybersecurity & Data Protection Policies,Documented evidence of an appropriately-scoped cybersecurity & data protection policies. Policies are high-level statements of management intent from an organization's executive leadership that are designed to influence decisions and guide the organization to achieve the desired outcomes. Policies are enforced by standards and further implemented by procedures to establish actionable and accountable requirements.,"GOV-02
208,E-NET-06,Network Security,Authorized Network Connections,"Documented evidence of third-party Technology Assets, Applications and/or Services (TAAS) authorized to connect to organizational TAAS, including remote access authorizations.","NET-04
NET-05
NET-05.1
MDM-11","AC.L2-3.1.16
AC.L2-3.1.18
SC.L2-3.13.14"
209,E-NET-07,Network Security,External System Accessibility,"Documented evidence of a list of Technology Assets, Applications and/or Services (TAAS) accessible from third-party entities.","NET-04
NET-04.1",
210,E-NET-08,Network Security,Internal Boundaries,Documented evidence of key internal boundaries.,NET-03,"SC.L1-3.13.1
SC.L1-3.13.5"
211,E-NET-09,Network Security,Network Access Control Points,Documented evidence of network access control points.,"NET-03
NET-05.1
NET-14.3",AC.L2-3.1.14
212,E-NET-10,Network Security,Information Flow Control,"Documented evidence of information flow control mechanisms (e.g., Access Control Lists, etc.).","NET-04
NET-04.1","AC.L2-3.1.3
AU.L2-3.3.9"
213,E-PES-01,Physical Security,Environmental Monitoring,"Documented evidence of environmental monitoring (e.g., water leaks, temperature, humidity, etc.)","PES-01
PES-07
PES-07.5
PES-08
PES-09",
214,E-PES-02,Physical Security,Visitor Logbook,Documented evidence of a visitor management and logging visitor activities.,"PES-03.3
PES-06
PES-06.4",
215,E-PES-03,Physical Security ,Defined Physical Security Roles,Documented evidence of defined physical access control-specific roles that limit physical access to rooms and/or facilities.,"PES-02
PES-02.1",
216,E-PES-04,Physical Security ,Physical Security Plan,Documented evidence of a physical security plan.,PES-01.1,"SI.L2-3.14.6
SI.L2-3.14.7"
217,E-PES-05,Physical Security ,Physical Security Operations,Documented evidence of the organization's physical security capabilities as it pertains to operating and monitoring Physical Access Control (PAC) mechanisms.,"PES-01
PES-02
PES-02.1
PES-03
PES-05",
218,E-PES-06,Physical Security ,Physical Access Control Logs,Documented evidence of physical access control logs or records.,PES-03,"IA.L2-3.5.6
MP.L2-3.8.1
PE.L1-3.10.3
PE.L1-3.10.4
PE.L1-3.10.5"
219,E-PES-07,Physical Security ,Physical Access Control Devices,Documented evidence of Physical Access Control (PAC) mechanisms.,PES-03,"PE.L1-3.10.3
PE.L1-3.10.4
PE.L1-3.10.5"
220,E-PES-08,Physical Security ,Physical Access Control Device Inventories,Documented evidence of inventory records of physical access control devices.,PES-03,
221,E-PES-09,Physical Security ,Key & Combination Changes,Documented evidence of key and lock combination changes.,PES-03,"PE.L1-3.10.3
PE.L1-3.10.4
PE.L1-3.10.5"
222,E-PES-10,Physical Security ,Physical Access Authorizations,"Documented evidence of physical access authorization activities (e.g., list reviews, termination changes, etc.).","PES-02
PES-02.1",
223,E-PES-11,Physical Security ,Physical Security Zones,Documented evidence of security safeguards controlling access to designated physical security zones within facilities.,PES-01.2,
224,E-PES-12,Physical Security ,Entry and Exist Points,Documented evidence of physical entry and exit points.,PES-03.1,"PE.L1-3.10.3
PE.L1-3.10.4
PE.L1-3.10.5"
225,E-PRI-01,Privacy,Accounting of Disclosures,Documented evidence of accounting for privacy-related disclosures.,PRI-14.1,
226,E-PRI-02,Privacy,Authorized Use,Documented evidence of authorized use definitions for privacy-related data operations.,"PRI-04
PRI-04.1
PRI-05
PRI-05.1",
227,E-PRI-03,Privacy,Data Authority Registrations,Documented evidence of registrations made with applicable data authorities for privacy-related data processing.,PRI-15,
228,E-PRI-04,Privacy,Data Protection Impact Assessment (DPIA),Documented evidence of Data Protection Impact Assessment (DPIA).,RSK-10,
229,E-PRI-05,Privacy,Data Sharing Agreement,"Documented evidence of formal data sharing practices that address, at a minimum:
• The business justification for the data sharing;
• The type / category of data being shared;
• The third-parties the data is being shared with;
• Lawful bases for data sharing; and
• Data subject rights.","PRI-01.5
PRI-07
PRI-07.1
PRI-07.2",
230,E-PRI-06,Privacy,Data Subject Access,Documented evidence of how data subject access requests are handled that includes intake through remediation.,PRI-06,
231,E-PRI-07,Privacy,Personal Data Categories,Documented evidence of formal personal data categories.,PRI-05.7,
232,E-PRI-08,Privacy,Data Privacy Notice,Documented evidence of a publicly-accessible data privacy notice.,PRI-02,
233,E-PRM-01,Resource Management,Cybersecurity Business Plan (CBP),Documented evidence of a cybersecurity-specific business plan that documents a strategic plan and discrete objectives.,"GOV-08
PRM-01.1
PRM-03",
234,E-PRM-02,Resource Management,Portfolio Roadmap,Documented evidence of the organization's roadmap for implementing cybersecurity-related initiatives and technologies.,"PRM-01
PRM-02
PRM-03",
235,E-PRM-03,Resource Management,Secure Development Lifecycle (SDLC),Documented evidence of a secure development lifecycle that the organization utilizes for new initiatives or significant changes to existing initiatives to ensure cybersecurity & data privacy principles are identified and implemented by default.,"PRM-04
PRM-05
PRM-06
PRM-07",
236,E-PRM-04,Resource Management,Targeted Maturity Level,Documented evidence of a targeted level of control maturity from a Capability Maturity Model (CMM).,PRM-01.2,
237,E-PRM-05,Resource Management,System Design Document (SDD) ,"Documented evidence of a System Design Document (SDD) focuses on how a Technology Asset, Application and/or Service (TAAS) is built (e.g., architecture, components, data flow, functions, etc.).","PRM-04
PRM-05
PRM-06
PRM-07","AC.L1-3.1.1
AC.L1-3.1.2
AC.L2-3.1.10
AC.L2-3.1.11
AC.L2-3.1.12
AC.L2-3.1.13
AC.L2-3.1.14
AC.L2-3.1.16
AC.L2-3.1.17
AC.L2-3.1.18
AC.L2-3.1.19
AC.L2-3.1.3
AC.L2-3.1.5
AC.L2-3.1.7
AC.L2-3.1.8
AC.L2-3.1.9
AU.L2-3.3.1
AU.L2-3.3.2
AU.L2-3.3.4
AU.L2-3.3.7
AU.L2-3.3.8
AU.L2-3.3.9
CM.L2-3.4.1
CM.L2-3.4.5
CM.L2-3.4.6
CM.L2-3.4.8
CM.L2-3.4.9
IA.L1-3.5.2
IA.L2-3.5.10
IA.L2-3.5.4
IA.L2-3.5.5
IA.L2-3.5.6
IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.9
MP.L1-3.8.3
MP.L2-3.8.6
MP.L2-3.8.7
MP.L2-3.8.8
SC.L1-3.13.1
SC.L1-3.13.5
SC.L2-3.13.10
SC.L2-3.13.12
SC.L2-3.13.14
SC.L2-3.13.15
SC.L2-3.13.2
SC.L2-3.13.3
SC.L2-3.13.9
SI.L1-3.14.4
SI.L1-3.14.5
SI.L2-3.14.6
SI.L2-3.14.7"
238,E-PRM-06,Resource Management,Quarterly Business Review (QBR),"Documented evidence of a Quarterly Business Review (QBR), or similar process, to provide recurring status reports on the current state of the cybersecurity and data protection program.",GOV-01.1,
239,E-RSK-01,Risk Management,Risk Management Program (RMP),"Documented evidence of a Risk Management Program (RMP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","RSK-01
RSK-01.1
RSK-02
RSK-12",
240,E-RSK-02,Risk Management,Supply Chain Risk Management (SCRM) Plan,"Documented evidence of a Supply Chain Risk Management (SCRM) Plan. This is program-level documentation in the form of a playbook, concept of operations or a similar format provides guidance on organizational practices that support existing policies and standards. ","IRO-10.4
RSK-09
TPM-03
TPM-05
TPM-05.2",
241,E-RSK-03,Risk Management,Plan of Actions & Milestones (POA&M) / Risk Register,"Documented evidence of a POA&M, or risk register, that tracks control deficiencies from identification through remediation.","AST-02.4
CPL-02
IAO-05
RSK-04.1
RSK-06
RSK-06.1
RSK-06.2
VPM-02
VPM-03",
242,E-RSK-04,Risk Management,Cybersecurity Risk Assessment (RA),Documented evidence of a cybersecurity-specific risk assessment.,"RSK-02
RSK-02.1
RSK-03
RSK-04
RSK-05
VPM-02
VPM-03",
243,E-RSK-05,Risk Management,Supply Chain Risk Assessment (SCRA),Documented evidence of supply chain-specific risk assessment that evaluates risks that are specific to its supply chain.,RSK-09.1,
244,E-RSK-06,Risk Management,Risk Threshold,Documented evidence the organization has a defined risk threshold.,"RSK-01.1
RSK-01.3",
245,E-RSK-07,Risk Management,Risk Tolerance,Documented evidence the organization has a defined risk tolerance.,"RSK-01.1
RSK-01.4",
246,E-RSK-08,Risk Management,Risk Appetite,Documented evidence the organization has a defined risk appetite.,"RSK-01.1
RSK-01.5",
247,E-RSK-09,Risk Management,Risk Catalog,Documented evidence of a risk catalog.,RSK-03.1,
248,E-RSK-10,Risk Management,Material Risk Definition,Documented evidence of criteria necessary to designate a risk as a material risk.,"GOV-16.1
RSK-13
RSK-13.2",
249,E-RSK-11,Risk Management,Risk Alternatives,Documented evidence of alternative courses of action to manage material risks.,RSK-13.1,
250,E-RSK-12,Risk Management,Risk Management Justification,Document evidence of justification for selecting a specific course of action to manage material risk.,RSK-13.2,
251,E-RSK-13,Risk Management,Risk Treatment Options,Documented evidence of organization-approved risk treatment options.,RSK-06.3,
252,E-RSK-14,Risk Management,Risk Treatment Plan,Documented Risk Treatment Plan (RTP) for applicable stakeholders to utilize in remediating identified risks according to a defined timeline.,RSK-06.4,
253,E-RSK-15,Risk Management,Instances Requiring A Risk Assessment,Documented criteria that define instances requiring a risk assessment to be performed.,RSK-04.3,
254,E-SEA-01,Secure Engineering & Architecture ,Logon Banner,Documented evidence of a system use notification message or logon banner.,"SEA-18
SEA-18.1
SEA-18.2","AC.L2-3.1.7
AC.L2-3.1.9"
255,E-SEA-02,Secure Engineering & Architecture ,Security Architecture,Documented evidence of security architecture-related documentation.,"SEA-01
SEA-02","SC.L1-3.13.1
SC.L2-3.13.2
SC.L1-3.13.5"
256,E-OPS-01,Security Operations,Security Operations Center (SOC),Documented evidence of a Security Operations Center (SOC).,OPS-04,
257,E-TDA-01,Technology Design & Acquisition,Secure Software Development Principles (SSDP),"Documented evidence of a Secure Software Development Principles (SSDP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","SEA-01
TDA-01
TDA-14
TDA-14.1
TDA-14.2",
258,E-TDA-02,Technology Design & Acquisition,Secure Engineering & Data Privacy (SEDP),"Documented evidence of a Secure Engineering & Data Privacy (SEDP) program. This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","SEA-01
TDA-01
TDA-14
TDA-14.1
TDA-14.2","CA.L2-3.12.3
CA.L2-3.12.4
CM.L2-3.4.1
CM.L2-3.4.5
SC.L2-3.13.2"
259,E-TDA-03,Technology Design & Acquisition,Application Security Testing (AST),"Documented evidence of application security testing (e.g., DAST, SAST, fuzzing, etc.).","TDA-06.2
TDA-09
TDA-09.1
TDA-09.2
TDA-09.3
TDA-09.4
TDA-09.5
TDA-09.6",
260,E-TDA-04,Technology Design & Acquisition,Design and Development Plan (DDP),Documented evidence of an engineering method to control the design process and govern the lifecycle of the product/service.,"SEA-01
SEA-02
SEA-03
TDA-02.3
TDA-05
TDA-06.3
TDA-14
TDA-14.1
TDA-14.2",
261,E-TDA-05,Technology Design & Acquisition,Failure Mode and Effect Analysis (FMEA),"Documented evidence of an engineering method designed to define, identify, and present solutions for system failures, problems, or errors.","TDA-01.1
TDA-06.5
TDA-09",
262,E-TDA-06,Technology Design & Acquisition,Multi Patient Harm View (MPHV),Documented evidence of a description of a Multi Patient Harm View (MPHV) that explains how the device / system defends against and/or responds to attacks with the potential to harm multiple patients. [note MPHV is specific to medical device manufacturers],"TDA-01.1
TDA-02
TDA-04
TDA-04.1",
263,E-TDA-07,Technology Design & Acquisition,"Ports, Protocols & Services (PPS)","Documented evidence of all ports, protocols and services in use by the system, application or service.","TDA-01.1
TDA-02.1
TDA-02.5
TPM-04.2",
264,E-TDA-08,Technology Design & Acquisition,Secure Engineering Principles (SEP),"Documented evidence of defined secure engineering principles used to ensure Sensitivity, Integrity, Availability & Safety (CIAS) concerns are properly addressed in the design and implementation of Technology Assets, Applications and/or Services (TAAS).","SEA-01
TDA-01
TDA-06
TDA-14
TDA-14.1
TDA-14.2",
265,E-TDA-09,Technology Design & Acquisition,Security Architecture View,"Documented evidence that identifies security-relevant system elements and their interfaces:
• Define security context, domains, boundaries, and external interfaces of the system;
• Align the architecture with (a) the system security objectives and requirements, (b) security design characteristics; and
• Establish traceability of architecture elements to user and system security requirements.","CLD-02
SEA-01
SEA-02
SEA-03",
266,E-TDA-10,Technology Design & Acquisition,Security Use Case View (SUCV),"Documented evidence of diagrams, with explanatory text, describing various security scenarios in each of the operational and clinical functionality states of the system and how the system addresses each scenario architecturally. [note SUCV is specific to medical device manufacturers]","TDA-04
TDA-04.1
TDA-06.2",
267,E-TDA-11,Technology Design & Acquisition,Software Assurance Maturity Model (SAMM),Documented evidence of a Software Assurance Maturity Model (SAMM).,"TDA-06
TDA-06.3",
268,E-TDA-12,Technology Design & Acquisition,Software Bill of Materials (SBOM),Documented evidence of a Software Bill of Materials (SBOM).,TDA-04.2,
269,E-TDA-13,Technology Design & Acquisition,Software Escrow,Documented evidence of a software escrow solution.,TDA-20.3,
270,E-TDA-14,Technology Design & Acquisition,System Security Plan (SSP),"Documented evidence of at least one (1) System Security Plan (SSP) that covers the sensitive/regulated data environment. There may be multiple SSPs, based on applicable contracts.","AST-02.4
IAO-03","AC.L1-3.1.1
AC.L1-3.1.2
AC.L2-3.1.12
AC.L1-3.1.20
AC.L1-3.1.22
AC.L2-3.1.10
AC.L2-3.1.11
AC.L2-3.1.13
AC.L2-3.1.14
AC.L2-3.1.15
AC.L2-3.1.16
AC.L2-3.1.17
AC.L2-3.1.18
AC.L2-3.1.19
AC.L2-3.1.21
AC.L2-3.1.3
AC.L2-3.1.4
AC.L2-3.1.5
AC.L2-3.1.6
AC.L2-3.1.7
AC.L2-3.1.8
AC.L2-3.1.9
AT.L2-3.2.1
AT.L2-3.2.2
AT.L2-3.2.3
AU.L2-3.3.1
AU.L2-3.3.2
AU.L2-3.3.4
AU.L2-3.3.7
AU.L2-3.3.8
AU.L2-3.3.9
CA.L2-3.12.1
CA.L2-3.12.3
CA.L2-3.12.4
CM.L2-3.4.1
CM.L2-3.4.4
CM.L2-3.4.5
CM.L2-3.4.6
CM.L2-3.4.8
CM.L2-3.4.9
IA.L1-3.5.2
IA.L2-3.5.10
IA.L2-3.5.4
IA.L2-3.5.5
IA.L2-3.5.6
IA.L2-3.5.7
IA.L2-3.5.8
IA.L2-3.5.9
IR.L2-3.6.1
IR.L2-3.6.2
MA.L2-3.7.2
MA.L2-3.7.4
MP.L1-3.8.3
MP.L2-3.8.1
MP.L2-3.8.6
MP.L2-3.8.7
MP.L2-3.8.8
PE.L1-3.10.3
PE.L1-3.10.4
PE.L1-3.10.5
PS.L2-3.9.1
RA.L2-3.11.2
SC.L1-3.13.1
SC.L1-3.13.5
SC.L2-3.13.9
SC.L2-3.13.10
SC.L2-3.13.12
SC.L2-3.13.13
SC.L2-3.13.14
SC.L2-3.13.15
SC.L2-3.13.2
SC.L2-3.13.3
SI.L1-3.14.1
SI.L1-3.14.4
SI.L1-3.14.5
SI.L2-3.14.3
SI.L2-3.14.6
SI.L2-3.14.7"
271,E-TDA-15,Technology Design & Acquisition,Updateability / Patchability View,Documented evidence of a description of the end-to-end process permitting software updates and patches to be deployed to the device/service.,"TDA-01.1
TDA-01.2
TDA-04.1",
272,E-TDA-16,Technology Design & Acquisition,Vulnerability Disclosure Program (VDP),"Documented evidence of a Vulnerability Disclosure Program (VDP) (e.g., bug bounty).",THR-06,
273,E-TDA-17,Technology Design & Acquisition,System Design Documentation,Documented evidence of system design documentation.,"TDA-01
TDA-01.1",
274,E-TDA-18,Technology Design & Acquisition,System Security Plan (SSP) Reviews,Documented evidence of reviews and/or updates to System Security Plan (SSP) documentation.,IAO-03,"CA.L2-3.12.3
CA.L2-3.12.4
SC.L2-3.13.2"
275,E-THR-01,Threat Management,Indicators of Exposure (IOE),Documented evidence of defined Indicators of Exposure (IOE).,THR-02,
276,E-THR-02,Threat Management,Industry Associations / Memberships,Documented evidence of industry associations the organization utilizes to maintain situational awareness of evolving threats and trends.,GOV-07,
277,E-THR-03,Threat Management,Threat Intelligence Feeds (TIF),Documented evidence of threat intelligence feeds.,THR-03,SI.L2-3.14.3
278,E-THR-04,Threat Management,Threat Intelligence Program (TIP),Documented evidence of a formal capability that intakes and analysis threat information to determine specific threat to the organization and necessary actions to mitigate the threat(s).,"THR-01
THR-04
THR-05",
279,E-THR-05,Threat Management,Threat Mitigation,Documented evidence of steps taken to mitigate identified threats.,"TDA-06.2
THR-07
VPM-01
VPM-04",
280,E-THR-06,Threat Management,Threat Catalog,Documented evidence of a threat catalog.,THR-09,
281,E-THR-07,Threat Management,Threat Analysis,Documented evidence of a completed threat analysis.,THR-10,
282,E-THR-08,Threat Management,Behavioral Baselining,Documented evidence of behavioral baselining to determine normal vs abnormal activities.,THR-11,
283,E-TPM-01,Third-Party Management,Third-Party Contracts,Documented evidence of third-party contractual obligations for cybersecurity & data privacy protections.,"PRI-07
PRI-07.1
PRI-07.2
TPM-01
TPM-03.2
TPM-03.3
TPM-04.1
TPM-05
TPM-04.3
TPM-05.3
TPM-05.6
TPM-06
TPM-10
TPM-11",AC.L1-3.1.20
284,E-TPM-02,Third-Party Management,Third-Party Criticality Assessment,Documented evidence of third-party criticality assessment that evaluates the critical nature of each third-party the organization works with.,"RSK-02
RSK-02.1
TDA-06.1
TPM-02
TPM-03.2
TPM-03.3
TPM-04.1",
285,E-TPM-03,Third-Party Management,Third-Party Service Reviews,"Documented evidence of a formal, annual stakeholder review of third-party services for each External Service Provider (ESP).","TPM-01
TPM-03.2
TPM-03.3
TPM-04.1
TPM-05
TPM-05.5
TPM-08
TPM-09",
286,E-TPM-04,Third-Party Management,Service Level Agreements (SLAs),Documented evidence of third-party Service Level Agreements (SLAs) to support business operations.,"BCD-09.3
BCD-10.1
OPS-03",
287,E-TPM-05,Third-Party Management,Break Clauses,"Documented evidence of ""break clauses"" in third-party contracts.","TPM-03.2
TPM-03.3
TPM-05.7",
288,E-TPM-06,Third-Party Management,Third-Party Terms & Conditions,Documented evidence of terms and conditions for external systems.,"TPM-01
TPM-05",
289,E-TPM-07,Third-Party Management,System Connection or Processing Agreements,Documented evidence of system connection or processing agreements.,TPM-05,"AC.L1-3.1.2
AC.L1-3.1.20
AC.L2-3.1.21"
290,E-VPM-01,Vulnerability & Patch Management,Vulnerability & Patch Management Program (VPMP),"Documented evidence of a Vulnerability & Patch Management Program (VPMP). This is program-level documentation in the form of a runbook, playbook or a similar format provides guidance on organizational practices that support existing policies and standards.","VPM-01
VPM-02
VPM-03",RA.L2-3.11.2
291,E-VPM-02,Vulnerability Management,Penetration Testing - Application,"Documented evidence of Application Security Testing (AST) activities:
• Abuse case, malformed, and unexpected inputs (e.g., Robustness or Fuzz testing);
• Attack surface analysis;
• Vulnerability chaining;
• Closed box testing of known vulnerability scanning;
• Software composition analysis of binary executable files; and/or
• Static and dynamic code analysis, including testing for credentials that are “hardcoded,” default, easily guessed, and easily compromised.",VPM-07,
292,E-VPM-03,Vulnerability Management,Penetration Testing - Network,Documented evidence of internal and external network penetration testing activities that focus on discovering and exploiting security vulnerabilities.,VPM-07,
293,E-VPM-04,Vulnerability Management,Red Team Testing,"Documented evidence of ""red team"" testing.",VPM-07.1,
294,E-VPM-05,Vulnerability Management,Vulnerability Assessments,Documented evidence of internal and external vulnerability assessment activities.,"VPM-06
VPM-06.6
VPM-06.7",
295,E-VPM-06,Vulnerability Management,Attack Surface Scope,"Documented evidence of the organization defining its attack surface (e.g., may be in the form of graphical network diagrams or other forms of written documentation).",VPM-01.1,
296,E-VPM-07,Vulnerability Management,Flaw Remediation Change Control,Documented evidence of installation/change control records for security-relevant software and firmware updates.,VPM-01.1,
297,E-VPM-08,Vulnerability Management,Flaw Remediation Test Results,Documented evidence of test results from the installation of software and firmware updates to correct system flaws.,VPM-01.1,SI.L1-3.14.1
298,E-VPM-09,Vulnerability Management,Flaw Remediation Actions,"Documented evidence of list of recent security flaw remediation actions performed on the system (e.g., list of installed patches, service packs, hot fixes, and other software updates to correct system flaws).",VPM-02,"RA.L2-3.11.2
SI.L1-3.14.1"
299,E-VPM-10,Vulnerability Management,Applicable Flaws & Vulnerabilities,"Documented evidence of flaws and vulnerabilities potentially affecting a specific system, application and/or service.","VPM-03
VPM-05","RA.L2-3.11.2
SI.L1-3.14.1"
300,E-VPM-11,Vulnerability Management,Vulnerability Scanning,Documented evidence of internal and external vulnerability scans being performed.,VPM-06,RA.L2-3.11.2
301,E-END-01,Endpoint Security,Endpoint Security Tools,"Documented evidence of endpoint security tools employed by the organization to ensure secure, compliant and resilient Technology Assets, Applications and/or Services (TAAS) (e.g., antimalware, FIM, etc.).","END-01
END-04
END-06","SI.L1-3.14.4
SI.L1-3.14.5"
302,E-END-02,Endpoint Security,Malware Tool Updates,Documented evidence of malicious code protection updates.,END-04.1,"SI.L1-3.14.4
SI.L1-3.14.5"
303,E-END-03,Endpoint Security,Antimalware Scanning Results,Documented evidence of scan results from malicious code protection mechanisms.,"END-04.3
MON-01.4","SI.L1-3.14.4
SI.L1-3.14.5"
