#,Principle Name,SCF Data Privacy Management Principle (SCF-DPMP) Description,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","AICPA
TSC 2017:2022 (used for SOC 2)","APEC
Privacy Framework
2015",GAPP,"ISO
27701 
2025","ISO
29100
2024","NIST Privacy Framework
1.0","NIST
800-53
R5","NIST
800-53B R5
(privacy)","NIST
CSF
2.0","OECD
Privacy Principles","US
Data Privacy Framework (DPF)","US
FIPPS","US
HIPAA Administrative Simplification
2013","US - AK
PIPA","US - CA
CCPA
2025","US - CO
Colorado Privacy Act","US - IL
BIPA","US - IL
IPA","US - IL
PIPA","US - NV
SB220","US - OR
CPA","US - TN
Tennessee Information Protection Act ","US - TX
BC521","US - VA
CDPA
2025","US - VT
Act 171 of 2018","EMEA
EU
GDPR","EMEA
Saudi Arabia
Personal Data Protection Law (PDPL)","APAC
Australia
Privacy Act","APAC
Australian Privacy Principles","APAC
India
DPDPA 2023","APAC
New Zealand Privacy Act of 2020","Americas
Canada
PIPEDA"
,,,Network Diagrams & Data Flow Diagrams (DFDs),AST-04,"Mechanisms exist to maintain network architecture diagrams that: 
(1) Contain sufficient detail to assess the security of the network's architecture;
(2) Reflect the current architecture of the network environment; and
(3) Document all sensitive/regulated data flows.","C1.1-POF1
CC2.1
CC2.1-POF2
CC2.1-POF5",,,,,ID.IM-P1,"PL-2
SA-4(1)
SA-4(2)",PL-2,ID.AM-03,,,,,,7123(c)(4)(A),,,,,,,,,,,,,,,,,
,,,Sensitive / Regulated Data Actions,CFG-08.1,"Automated mechanisms exist to generate event logs whenever sensitive/regulated data is collected, created, updated, deleted and/or archived.",,,,,,,,,,,,,164.312(c)(2),,,,,,,,,,,,,,,,,,,
,,,Sensitive / Regulated Media Records,DCH-01.3,Mechanisms exist to ensure media records for sensitive/regulated data contain sufficient information to determine the potential impact in the event of a data loss incident.,,,,,,,,,PR.DS,,,,,,,,,,,,,,,,,,,,,,,
,,,Data Tagging,PRI-11,Mechanisms exist to issue data modeling guidelines to support tagging of sensitive/regulated data.,,,,,,CT.DM-P7,PT-3(1),,,,,,,,,,,,,,,,,,,,,,,,,
5.3,Data Custodians,"Identify the owners or operators of Technology Assets, Applications and/or Services (TAAS) that process data, or with which data subjects are interacting.",Asset Ownership Assignment,AST-03,"Mechanisms exist to ensure asset ownership responsibilities are assigned, tracked and managed at a team, individual, or responsible organization level to establish a common understanding of requirements for asset protection.",,,,,,ID.IM-P2,SA-4(12),,ID.AM,,,,164.310(d)(2)(iii),,,,,,,,,,,,,,,,,,,
,,,Accountability Information,AST-03.1,"Mechanisms exist to include capturing the name, position and/or role of individuals responsible/accountable for administering assets as part of the technology asset inventory process.",,,,,,ID.IM-P2,CM-8(4),,ID.AM,,,,164.310(d)(2)(iii),,,,,,,,,,,,,,,,,,,
5.4,Retention of Personal Data,"Ensure that all records containing personal data are maintained in accordance with the organization's records retention schedule and comply with applicable statutory, regulatory and contractual obligations.",Media & Data Retention ,DCH-18,"Mechanisms exist to retain media and data in accordance with applicable statutory, regulatory and contractual obligations. ","C1.1-POF3
PI1.5",,,,,,"MP-7
SI-12",SI-12,,,,,164.316(b)(2)(i),,"7122(g)
7123(c)(16)
7155(c)",,,,,,8(6),,,,,,,,,"8(7)(a)
8(8)",,
,,,Minimize Sensitive / Regulated Data,DCH-18.1,"Mechanisms exist to minimize sensitive/regulated data that is collected, received, processed, stored and/or transmitted throughout the information lifecycle to only those elements necessary to support necessary business processes.",,,,,6.5,,SI-12(1),SI-12(1),,,,,164.502(b)(1),,,,,,,2.3,,,,,,,11.3,,,,,
5.5,Secure Destruction of Personal Data,Utilize secure methods to dispose of or destroy both physical and digital media that contains personal data.,Sanitization of Personal Data (PD),DCH-09.3,Mechanisms exist to facilitate the sanitization of Personal Data (PD).,P4.3,,,,,CT.DM-P5,"MP-6
MP-6(3)",MP-6,,,,,,45.48.500,7123(c)(16),,,,,,,,,,,,,,,8(7)(a),,
,,,Information Disposal,DCH-21,"Mechanisms exist to securely dispose of, destroy or erase information.","C1.2
C1.2-POF1
C1.2-POF2
CC6.5
CC6.5-POF2
P4.3
P4.3-POF2
P4.3-POF3",,,,,CT.DM-P5,SI-12(3),SI-12(3),,,,,,"45.48.500
45.48.510",,,,,"40(a)
40(b)
40(b)(1)
40(b)(2)
40(c)
40(d)
40(e)
40(f)",,,,521.052(b),,,,,,,,,
5.6,Geolocation Restrictions,"Restrict the location of processing, storage and service locations to comply with the data privacy notice, as well as applicable statutory, regulatory and contractual obligations.",Information Location,DCH-24,Mechanisms exist to identify and document the location of information and the specific system components on which the information resides.,CC2.1-POF9,,,,,,CM-12,,,,,,,,,,,,,,,,,,,,,,,,,Sec 20
,,,Transfer of Sensitive and/or Regulated Data,DCH-25,Mechanisms exist to restrict and govern the transfer of sensitive and/or regulated data to third-countries or international organizations.,,,,,,,,,,,,,,,,,,,,,,,,,,"44
45.1
46.1
46.2
46.2(a)
49.1
49.1(a)
49.1(b)
49.1(c)
49.1(d)
49.1(e)
49.1(f)
49.1(g)
49.2
49.3
49.4
49.6",29.1,,,,"Principle 12
P12-(1)
P12-(1)(a)
P12-(1)(b)
P12-(1)(c)
P12-(1)(d)
P12-(1)(e)
P12-(1)(f)
P12-(2)
P12-(3)",Sec 20
,,,Distributed Processing & Storage ,SEA-15,Mechanisms exist to distribute processing and storage across multiple physical locations. ,,,,,,,"PE-23
SC-36",,,,,,,,,,,,,,,,,,,,,,,,,Sec 20
,,,"Third-Party Processing, Storage and Service Locations",TPM-04.4,Mechanisms exist to restrict the location of information processing/storage based on business requirements. ,"CC2.1-POF9
CC9.1",,,,,,"PE-23
SA-9(5)",,GV.SC-06,,,,,,7123(c)(15),,,,,,,,,,,,,,,,,Sec 20
5.7,Data Portability,"Provide the functionality to export personal data in a structured, commonly-used and machine-readable format that can be transferred to another controller without hindrance.",Data Portability,PRI-06.6,"Mechanisms exist to format exports of Personal Data (PD) in a structured, machine-readable format that allows data subjects to transfer their PD to another controller without hindrance.",P6.7-POF2,,,,,"ID.DE-P4
CT.DM-P2
CT.DM-P6",,,,,,,"164.524(c)(2)(i)
164.524(c)(2)(ii)",,7024(g),6-1-1306(1)(e),,,,,3(2),47-18-3203(a)(2)(D),,59.1-577.A.4,,20.1,,,,,,
,,,Personal Data (PD) Exports,PRI-06.7,"Mechanisms exist to export a data subject's available Personal Data (PD) in a readily usable format, upon an authenticated request.",P6.7-POF2,"8(a)
8(b)
8(b)(i)
8(b)(ii)
8(b)(iii)
8(b)(iv)",,,,"CT.DM-P2
CT.DM-P6",,,,"7(b)
7(b)(iv)",,,,,7024(g),6-1-1306(1)(e),,,,,"3(1)(a)(C)
3(2)",47-18-3203(a)(2)(D),,59.1-577.A.4,,"20.1
20.1(b)",,,,11(1)(a),,
5.8,Record of Disclosures,Develop and maintain an accounting of personal data disclosures that upon request can be made available to the individual whose personal data was disclosed.,Documenting Data Processing Activities,PRI-14,"Mechanisms exist to document Personal Data (PD) processing activities that covers collection, receiving, processing, storage, transmission, sharing, updating and/or disposal actions with sufficient detail to demonstrate conformity with applicable statutory, regulatory and contractual requirements.","CC2.3
P8.1-POF4
P8.1-POF5",,"10.2.3
10.2.5",,,"CM.AW-P4
CM.AW-P6
CM.AW-P7",PM-27,PM-27,,,,,,,,,,,,,,,,,,"30.1
30.1(a)
30.1(b)
30.1(c)
30.1(d)
30.1(e)
30.1(f)
30.1(g)
30.2
30.2(a)
30.2(b)
30.2(c)
30.2(d)
30.3","31
31.1
31.2
31.3
31.4
31.5
31.6
31.6",,,,,
,,,Accounting of Disclosures,PRI-14.1,"Mechanisms exist to provide data subjects with an accounting of disclosures of their Personal Data (PD) controlled by:
(1) The organization; and/or
(2) Relevant third-parties that their PD was shared with.","P6.2
P6.2-POF1
P6.3
P6.3-POF1",,"7.2.1
7.2.4",,,CM.AW-P4,PM-21,PM-21,,,,,"164.528(a)(1)
164.528(a)(1)(i)
164.528(a)(1)(ii)
164.528(a)(1)(iii)
164.528(a)(1)(iv)
164.528(a)(1)(ix)
164.528(a)(1)(v)
164.528(a)(1)(vi)
164.528(a)(1)(vii)
164.528(a)(1)(viii)
164.528(b)
164.528(b)(1)
164.528(b)(2)
164.528(b)(2)(i)
164.528(b)(2)(ii)
164.528(b)(2)(iii)
164.528(b)(2)(iv)
164.528(b)(3)
164.528(b)(3)(i)
164.528(b)(3)(ii)
164.528(b)(3)(iii)
164.528(b)(4)(i)
164.528(b)(4)(i)(A)
164.528(b)(4)(i)(B)
164.528(b)(4)(i)(C)
164.528(b)(4)(i)(D)
164.528(b)(4)(i)(E)
164.528(b)(4)(i)(F)
164.528(b)(4)(ii)
164.528(c)(1)
164.528(c)(1)(i)
164.528(c)(1)(ii)
164.528(c)(1)(ii)(A)
164.528(c)(1)(ii)(B)
164.528(c)(2)
164.528(d)
164.528(d)(1)
164.528(d)(2)
164.528(d)(3)",,,,,,,,"3(1)(a)(B)(i)
3(1)(a)(B)(ii)",,,,,,,,,11(1)(b),,
5.9,Integrity Protections,"Maintain the accuracy and relevance of personal data across the information lifecycle as personal data is collected, created, used, disseminated, maintained, retained and/or disclosed. ",Data Governance,GOV-10,"Mechanisms exist to facilitate data governance to oversee the organization's policies, standards and procedures so that sensitive/regulated data is effectively managed and maintained in accordance with applicable statutory, regulatory and contractual obligations.",CC1.2-POF1,,,,,,"PM-23
PM-24",PM-24,,,,,,,,,,,,,,,,,,,,,,,,
,,,Personal Data (PD) Accuracy & Integrity,PRI-05.2,"Mechanisms exist to ensure the accuracy and relevance of Personal Data (PD) throughout the information lifecycle by:
(1) Keeping PD up-to-date; and 
(2) Remediating identified inaccuracies, as necessary.",,6,9.2.1,,6.7,PR.DS-P6,PM-24,PM-24,,,II.5.a,,,,,,,,,,,,,,,5.1(d),14,APP Part 10,APP 10,"8(3)
8(3)(a)
8(3)(b)",Principle 9,Principle 6
5.10,De-Identification,"Process personal data in such a manner that it is not attributable to a data subject through technical or organizational measures (e.g., anonymization, pseudonymization or data minimization). ",De-Identification (Anonymization),DCH-23,Mechanisms exist to anonymize data by removing Personal Data (PD) from datasets.,,,,,,,SI-19,SI-19,,,"III.14.a.i
III.14.g.i",,,,,"6-1-1307(1)(a)
6-1-1307(1)(b)
6-1-1307(1)(b)(I)(A)
6-1-1307(1)(b)(I)(B)
6-1-1307(1)(b)(II)
6-1-1307(1)(b)(III)",,,,,7(1)(a)(A),47-18-3203(a)(2)(C),,59.1-581.A.1,,,,,,,,
,,,Data Masking,PRI-05.3,"Mechanisms exist to mask sensitive/regulated data through data anonymization, pseudonymization, redaction or de-identification.",,,,,,,SI-19(4),,,,,,,,7123(c)(5)(C),,,,,,,,,59.1-581.A.1,,,,APP Part 2,,,,
5.11,Quality Management,"Maintain quality assurances throughout the information lifecycle with such accuracy, relevance, timeliness and completeness as is reasonably necessary to ensure fairness to the individual. ",Data Quality Management,PRI-10,"Mechanisms exist to manage the quality, utility, objectivity, integrity and impact determination and de-identification of sensitive/regulated data across the information lifecycle.","P7.0
P7.1
P7.1-POF1
P7.1-POF2",,9.2.1,,,"CT.PO-P4
CT.DM-P8","PM-22
PM-23
PM-24",PM-24,,2,,5,"164.512(i)(1)(i)(B)
164.512(i)(1)(i)(B)(1)
164.512(i)(1)(i)(B)(2)
164.512(i)(1)(i)(B)(3)",,7023(c),,,,,,,,,,,,,,,,,
,,,Data Quality Automation,PRI-10.1,Automated mechanisms exist to support the evaluation of data quality across the information lifecycle.,,,,,,,PT-3(2),,,,,,,,,,,,,,,,,,,,,,,,,
5.12,Secure Data Processing,"Implement secure data processing practices so that the confidentiality, integrity and pertinent attributes of sensitive/regulated data is maintained throughout the data lifecycle.",Cybersecurity & Data Protection In Project Management ,PRM-04,"Mechanisms exist to assess cybersecurity and data protection controls in system project development to determine the extent to which the controls are implemented correctly, operating as intended and producing the desired outcome with respect to meeting the requirements.","CC3.1
CC4.1
CC5.2",,,,,"CM.AW-P3
CT.PO-P1
CT.DM-P1
CT.DM-P2
CT.DM-P3
CT.DM-P4
CT.DM-P5
CT.DM-P6
CT.DM-P7
CT.DM-P8
CT.DM-P9
CT.DM-P10
CT.PO-P4",CA-2,CA-2,,,,,,,,,,,,,,,,,,,,,,,,
,,,Cybersecurity & Data Protection Requirements Definition,PRM-05,"Mechanisms exist to identify critical system components and functions by performing a criticality analysis for critical Technology Assets, Applications and/or Services (TAAS) at pre-defined decision points in the Secure Development Life Cycle (SDLC). ","CC2.2
CC4.1
CC5.2
PI1.1-POF1
PI1.1-POF2
PI1.1-POF3",,,6.1.1,,"CT.PO-P1
CT.DM-P9
CT.DM-P10",RA-9,,,,,,164.306(b)(2)(ii),,7100(b),"6-1-1308(1)(c)(I)
6-1-1308(1)(c)(II)",,,,,,,,,,,,,,,,
,,,Business Process Definition ,PRM-06,"Mechanisms exist to define business processes with consideration for cybersecurity and data protection that determines: 
(1) The resulting risk to organizational operations, assets, individuals and other organizations; and
(2) Information protection needs arising from the defined business processes and revises the processes as necessary, until an achievable set of protection needs is obtained.","CC1.3
CC3.1
CC3.1-POF10
CC3.1-POF11
CC3.1-POF12
CC3.1-POF13
CC3.1-POF14
CC3.1-POF15
CC3.1-POF16
CC3.1-POF7
CC3.1-POF8
CC3.1-POF9
CC3.4
CC4.1
CC5.1
CC5.2
P6.7-POF1
PI1.1
PI1.1-POF1
PI1.3-POF1
PI1.3-POF2
PI1.3-POF3
PI1.3-POF4
PI1.3-POF5
PI1.4-POF1
PI1.4-POF2
PI1.4-POF3
PI1.4-POF4
PI1.5-POF1
PI1.5-POF2
PI1.5-POF3
PI1.5-POF4",,,"4.1
4.2
4.2(a)
4.2(b)
4.2(c)
6.1.1",,"ID.IM-P5
CT.PO-P1
CT.DM-P9
CT.DM-P10",PM-11,,,,,,164.306(b)(2)(i),,,"6-1-1308(1)(c)(I)
6-1-1308(1)(c)(II)",,,,,,,,,,,,,,,,
,,,Secure Development Life Cycle (SDLC) Management,PRM-07,"Mechanisms exist to ensure changes to Technology Assets, Applications and/or Services (TAAS) within the Secure Development Life Cycle (SDLC) are controlled through formal change control procedures. ","CC5.2
CC8.1
CC8.1-POF1",,,,,"CM.AW-P3
CT.PO-P1
CT.DM-P7
CT.DM-P8
CT.PO-P4","SA-3
SA-3(1)
SA-8(30)",SA-3,"GV.SC-09
ID.AM-08
PR.PS-02
PR.PS-03",,,,,,,,,,,,,,,,,,,,,,,
,,,Manage Organizational Knowledge,PRM-08,Mechanisms exist to manage the organizational knowledge of the cybersecurity and data protection staff.,,,,,,"CT.PO-P1
CT.DM-P7
CT.DM-P8",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Secure Engineering Principles ,SEA-01,"Mechanisms exist to facilitate the implementation of industry-recognized cybersecurity and data protection practices in the specification, design, development, implementation and modification of Technology Assets, Applications and/or Services (TAAS).","CC2.2
CC3.2
CC5.1
CC5.2
CC6.1-POF2
CC8.1-POF15
CC8.1-POF18",,"4.2.3
6.2.2
7.2.2
7.2.3",,,"ID.DE-P4
GV.PO-P2
CT.PO-P1
CT.DM-P7
CT.DM-P8
CM.AW-P3","PT-1
SA-8
SC-1
SC-7(18)
SI-1
SA-15(5)","PT-1
SI-1","PR.IR
PR.IR-01
PR.IR-03",,II.4.a,,164.306(b)(1),,7123(c)(5)(B),"6-1-1305(4)
6-1-1308(5)",,,,,,,521.052,,"2447(a)
2447(a)(1)
2447(a)(1)(A)
2447(a)(1)(B)
2447(a)(1)(C)
2447(a)(1)(D)
2447(a)(2)",,,"APP Part 8
APP Part 11",,,,Principle 7
,,,Secure Software Development Practices (SSDP),TDA-06,Mechanisms exist to develop applications based on Secure Software Development Practices (SSDP).,"PI1.1
PI1.2
PI1.2-POF1
PI1.2-POF2
PI1.2-POF3
PI1.3
PI1.3-POF1
PI1.3-POF2
PI1.3-POF3
PI1.3-POF4
PI1.3-POF5
PI1.4
PI1.4-POF1
PI1.4-POF2
PI1.4-POF3
PI1.4-POF4
PI1.5
PI1.5-POF1
PI1.5-POF2
PI1.5-POF3
PI1.5-POF4",,,,,"CT.PO-P1
CT.DM-P7
CT.DM-P8
CT.DM-P9
CT.DM-P10","SA-1
SA-4(3)
SA-15",SA-1,PR.PS-06,,,,,,7123(c)(14),,,,,,,,,,,,,,,,,
5.13,Data Lineage,"Maintain records of the inputs, entities and associated Technology Assets, Applications and/or Services (TAAS) that influence data of interest, providing a historical record of the data and its origins.",System Security & Privacy Plan (SSPP),IAO-03,"Mechanisms exist to generate System Security & Privacy Plans (SSPPs), or similar document repositories, to identify and maintain key architectural information on each critical Technology Assets, Applications and/or Services (TAAS), as well as influence inputs, entities and TAAS, providing a historical record of the data and its origins.","CC2.2-POF11
CC2.3-POF10
CC2.3-POF11
CC2.3-POF9",,,,,"ID.IM-P7
ID.IM-P8
ID.BE-P3
CM.AW-P6
PR.PO-P4",PL-2,PL-2,,,,,,,,,,,,,,,,,,,,,,,,
,,,Personal Data (PD) Lineage,PRI-09,"Mechanisms exist to maintain a process to document the lineage of Personal Data (PD) by recording how the organization collects, receives, processes, stores, transmits, shares, updates and/or disposes PD.",,,,,,"CM.AW-P4
CM.AW-P6",SA-4(12),,,,,,,,,,,,,,,,,,,,,,,,,
5.14,Updated Use Permissions,"Implement data management processes to adjust data that is able to be collected, created, used, disseminated, maintained, retained and/or disclosed, based on updated data subject authorization(s).",Just-In-Time Notice & Updated Consent,PRI-03.2,"Mechanisms exist to present data subjects with a new or updated consent request to collect, receive, process, store, transmit, share, update and/or dispose Personal Data (PD) in conjunction with the data action, when:
(1) The original circumstances under which an individual gave consent have changed; or
(2) A significant amount of time has passed since an individual gave consent.","P2.1
P2.1-POF4
P3.2",,,,,"CT.PO-P1
CT.PO-P3","PT-4(2)
PT-5(1)",,,,"III.14.b.i
III.14.b.ii",,,,"7002(f)
7010(f)
7022(g)
7022(h)
7025(c)(5)
7026(k)
7027(l)
7221(i)
7221(k)","6-1-1306(1)
6-1-1306(1)(a)(I)(A)
6-1-1306(1)(a)(I)(B)
6-1-1306(1)(a)(I)(C)
6-1-1306(1)(a)(II)
6-1-1306(1)(a)(III)
6-1-1306(1)(a)(IV)(A)
6-1-1306(1)(a)(IV)(B)
6-1-1306(1)(a)(IV)(C)",,,,,,,,,,,,,APP 5,,,"Sec 6
Sec 7
Principle 3"
5.15,Flaw Remediation with Personal Data,"Identify and correct flaws related to personal data as it is collected, created, used, disseminated, maintained, retained and/or disclosed.",Updating & Correcting Personal Data (PD),DCH-22.1,"Mechanisms exist to utilize technical controls to correct Personal Data (PD) that is inaccurate or outdated, incorrectly determined regarding impact, or incorrectly de-identified.","P5.1
P5.2",,"6.2.5
6.2.6
10.2.1
10.2.2",,,CT.DM-P3,"SI-18(4)
SI-18(5)",SI-18(4),,,,,"164.526(a)(1)
164.526(b)(1)",,7023(c),6-1-1306(1)(c),,,,,,,,59.1-577.A.2,,,17.1,APP Part 13,APP 13,,"P6-(2)
Principle 7
P7-(1)
P7-(2)
P7-(3)(a)
P7-(3)(b)
P7-(4)
P7-(5)
P7-(6)",Principle 10
,,,Vulnerability Disclosure Program (VDP),THR-06,"Mechanisms exist to establish a Vulnerability Disclosure Program (VDP) to assist with the secure development and maintenance of Technology Assets, Applications and/or Services (TAAS) that receives unsolicited input from the public about vulnerabilities in organizational TAAS.",,,,,,,RA-5(11),,,,,,,,7123(c)(6),,,,,,,,,,,,,,,,,
,,,Vulnerability & Patch Management Program (VPMP),VPM-01,Mechanisms exist to facilitate the implementation and monitoring of vulnerability management controls.,"CC3.2-POF7
CC3.2-POF9
CC3.4-POF6
CC8.1-POF14
CC8.1-POF16
CC9.2-POF13",,,,,PR.PO-P10,"SI-2
SI-3",,"ID.RA-01
ID.RA-08
PR.PS-02",,,,,,"7123(c)(5)(D)
7123(c)(6)",,,,,,,,,,2447(c)(7),,,,,,,
,,,Attack Surface Scope,VPM-01.1,Mechanisms exist to define and manage the scope for its attack surface management activities.,"CC2.2-POF9
CC3.2-POF7
CC3.2-POF9
CC3.4-POF6
CC9.2-POF13",,,,,,"SA-11(6)
SA-11(7)",,PR.PS-02,,,,,,7123(c)(5)(D),,,,,,,,,,,,,,,,,
,,,Vulnerability Remediation Process ,VPM-02,"Mechanisms exist to ensure that vulnerabilities are properly identified, tracked and remediated.","CC4.2
CC5.3-POF4
CC7.4-POF8",,,,,,"PM-4
SC-18(1)",,"ID.RA-08
PR.PS-02",,,,,,7123(c)(5)(D),,,,,,,,,,,,,,,,,
,,,Vulnerability Ranking ,VPM-03,Mechanisms exist to identify and assign a risk ranking to newly discovered security vulnerabilities using reputable outside sources for security vulnerability information. ,CC3.4-POF6,,,,,,,,ID.RA-08,,,,,,7123(c)(5)(D),,,,,,,,,,,,,,,,,
,,,Continuous Vulnerability Remediation Activities,VPM-04,Mechanisms exist to address new threats and vulnerabilities on an ongoing basis and ensure assets are protected against known attacks. ,CC4.2,,,,,,SC-18(1),,,,,,,,7123(c)(5)(D),,,,,,,,,,,,,,,,,
,,,Flaw Remediation with Personal Data (PD),VPM-04.2,"Mechanisms exist to identify and correct flaws related to the collection, usage, processing or dissemination of Personal Data (PD).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Software & Firmware Patching,VPM-05,"Mechanisms exist to conduct software patching for all deployed Technology Assets, Applications and/or Services (TAAS), including firmware.","CC8.1-POF14
CC8.1-POF16",,,,,,"SI-2
SI-2(4)
SI-3",,PR.PS-02,,,,,,"7123(c)(5)(A)
7123(c)(5)(D)",,,,,,,,,,2447(c)(7),,,,,,,
5.16,Analytical Biases,Understand and evaluate data analytic inputs and outputs for potential bias.,Data Analytics Bias,PRI-10.2,Mechanisms exist to evaluate its analytical processes for potential bias.,,,,,,ID.RA-P2,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Data Subject Rights,Provide data subjects with appropriate access to their personal data.,Active Participation By Data Subjects,PRI-03.7,"Mechanisms exist to compel data subjects to select the level of consent deemed appropriate by the data subject for the relevant business purpose (e.g., opt-in, opt-out, accept all cookies, etc.).",,,,,6.5,,,,,1,"II.2.c
III.12.a
III.12.b",,,,"7010(e)
7010(f)
7025(c)(4)
7027(b)
7027(i)",,,,,,"3(1)(d)(A)
3(1)(d)(B)
3(1)(d)(C)
5(6)",47-18-3203(b),,"59.1-577.A
59.1-577.A.5",,,,,,,,
,,,Data Subject Empowerment,PRI-06,"Mechanisms exist to provide authenticated data subjects the ability to:
(1) Access their Personal Data (PD) that is being processed, stored and shared, except where the burden, risk or expense of providing access would be disproportionate to the benefit offered to the data subject through granting access;
(2) Obtain answers on the specifics of how their PD is collected, received, processed, stored, transmitted, shared, updated and/or disposed; 
(3) Obtain the source(s) of their PD; 
(4) Obtain the categories of their PD being collected, received, processed, stored and shared; 
(5) Request correction to their PD due to inaccuracies;
(6) Request erasure of their PD; and
(7) Restrict the further collecting, receiving, processing, storing, transmitting, updated and/or sharing of their PD.","P5.0
P5.1
P5.1-POF1
P5.1-POF2
P5.1-POF3",8(c),"6.2.1
6.2.2
6.2.3
6.2.4
6.2.5
6.2.6",,"6.9
6.10",CT.DM-P1,"AC-3(14)
SI-18(4)","AC-3(14)
SI-18(4)",,7(a),"II.6.a
III.14.e.ii
III.8.a.i
III.8.a.i.1
III.8.a.i.2
III.8.a.i.3
III.8.a.iii
III.8.b.i
III.8.b.ii
III.8.d.ii
III.8.d.ii
III.8.e.i
III.8.f.i","1
6","164.502(a)(2)(i)
164.502(a)(2)(ii)
164.514(h)(1)(i)
164.514(h)(1)(ii)
164.524(a)(1)
164.524(a)(1)(i)
164.524(a)(1)(ii)
164.524(a)(1)(iii)
164.524(a)(1)(iii)(A)
164.524(a)(1)(iii)(B)
164.524(a)(2)
164.524(a)(2)(i)
164.524(a)(2)(ii)
164.524(a)(2)(iii)
164.524(a)(2)(iv)
164.524(a)(2)(v)
164.524(a)(3)
164.524(a)(3)(i)
164.524(a)(3)(ii)
164.524(a)(3)(iii)
164.524(a)(4)
164.524(b)(1)
164.524(b)(2)(i)
164.524(b)(2)(i)(A)
164.524(b)(2)(i)(B)
164.524(b)(2)(ii)
164.524(b)(2)(ii)(A)
164.524(b)(2)(ii)(B)
164.524(c)
164.524(c)(1)
164.524(c)(3)(i)
164.524(c)(3)(ii)
164.524(c)(4)
164.524(c)(4)(i)
164.524(c)(4)(ii)
164.524(c)(4)(iii)
164.524(c)(4)(iv)
164.524(d)
164.524(d)(1)
164.524(d)(2)",,"7020(a)
7020(b)
7020(c)
7020(d)
7020(e)
7020(f)
7020(f)(1)
7020(f)(2)
7022(b)
7023(c)
7023(d)(1)
7024(g)
7024(h)
7024(j)
7027(d)
7027(e)",6-1-1306(1)(b),,,,2.1,3(1)(a)(A),"47-18-3203(a)(1)
47-18-3203(a)(2)(A)",,"59.1-577.A
59.1-577.A.1
59.1-577.A.2
59.1-577.A.3
59.1-577.A.4",,"12.3
12.5(b)
12.6
15.1
15.1(a)
15.1(b)
15.1(c)
15.1(d)
15.1(e)
15.1(g)
15.1(h)
15.2
15.3
15.4
16
17.1
17.1
18.1
18.1(a)
18.1(b)
18.1(c)
18.1(d)","21
4.2
4.3
4.4
4.5",APP Part 12,APP 12,"11(1)(c)
11(2)","Principle 6
P6-(1)
P6-(1)(a)
P6-(1)(b)
P6-(2)
P6-(3)","Principle 8
Principle 9"
,,,Reject Unauthenticated or Untrustworthy Disclosure Requests,PRI-07.4,"Mechanisms exist to reject unauthenticated, or untrustworthy, disclosure requests.","P5.1-POF4
P5.2-POF1
P5.2-POF3",,,,,CT.DM-P1,,,,,,,"164.524(d)(2)(i)
164.524(d)(2)(ii)
164.524(d)(2)(iii)
164.524(d)(3)",,"7022(a)
7023(b)
7024(a)
7024(b)
7026(e)",6-1-1306(1),,,,,4(5)(e)(B),47-18-3203(b)(4),,,,,,,,,,
6.1,Inquiry Management,"Maintain a capability to receive and respond to data privacy-related requests, complaints, concerns or questions from data subjects.",Updating & Correcting Personal Data (PD),DCH-22.1,"Mechanisms exist to utilize technical controls to correct Personal Data (PD) that is inaccurate or outdated, incorrectly determined regarding impact, or incorrectly de-identified.","P5.1
P5.2",,"6.2.5
6.2.6
10.2.1
10.2.2",,,CT.DM-P3,"SI-18(4)
SI-18(5)",SI-18(4),,,,,"164.526(a)(1)
164.526(b)(1)",,7023(c),6-1-1306(1)(c),,,,,,,,59.1-577.A.2,,,17.1,APP Part 13,APP 13,,"P6-(2)
Principle 7
P7-(1)
P7-(2)
P7-(3)(a)
P7-(3)(b)
P7-(4)
P7-(5)
P7-(6)",Principle 10
