#,Principle Name,SCF Data Privacy Management Principle (SCF-DPMP) Description,SCF Control,SCF #,"Secure Controls Framework (SCF)
Control Description","AICPA
TSC 2017:2022 (used for SOC 2)","APEC
Privacy Framework
2015",GAPP,"ISO
27701 
2025","ISO
29100
2024","NIST Privacy Framework
1.0","NIST
800-53
R5","NIST
800-53B R5
(privacy)","NIST
CSF
2.0","OECD
Privacy Principles","US
Data Privacy Framework (DPF)","US
FIPPS","US
HIPAA Administrative Simplification
2013","US - AK
PIPA","US - CA
CCPA
2025","US - CO
Colorado Privacy Act","US - IL
BIPA","US - IL
IPA","US - IL
PIPA","US - NV
SB220","US - OR
CPA","US - TN
Tennessee Information Protection Act ","US - TX
BC521","US - VA
CDPA
2025","US - VT
Act 171 of 2018","EMEA
EU
GDPR","EMEA
Saudi Arabia
Personal Data Protection Law (PDPL)","APAC
Australia
Privacy Act","APAC
Australian Privacy Principles","APAC
India
DPDPA 2023","APAC
New Zealand Privacy Act of 2020","Americas
Canada
PIPEDA"
,,,Cyber Threat Environment,SAT-03.6,Mechanisms exist to provide role-based cybersecurity and data protection awareness training that is current and relevant to the cyber threats that users might encounter in day-to-day business operations.,CC2.2-POF8,,,,,,AT-2(6),,ID.RA-03,,,,164.308(a)(5)(ii)(A),,"7123(c)(12)
7123(c)(13)",,,,,,,,,,,,,,,,,
,,,Cybersecurity & Data Protection Training Records ,SAT-04,"Mechanisms exist to document, retain and monitor individual training activities, including basic cybersecurity and data protection awareness training, ongoing awareness training and specific-system training.",,,,,,,AT-4,AT-4,,,,,,,"7123(c)(12)
7123(c)(13)",,,,,,,,,,,,,,,,,
1.7,Personal Data Categories,Define and implement data handling and protection requirements for specific categories of sensitive Personal Data (PD).,Personal Data (PD) Categories,PRI-05.7,Mechanisms exist to define and implement data handling and protection requirements for specific categories of sensitive Personal Data (PD).,,,,,,,"PT-7
PT-7(1)
PT-7(2)","PT-7
PT-7(1)
PT-7(2)",,,,,,,"7024(j)
7024(l)",,,,,,"5(4)(a)
5(4)(e)",,,59.1-578.C.4,,"13.1(e)
14.1(d)",,,APP 9,,,
1.8,Data Subject Communications,"Craft disclosures and communications to data subjects so the material is readily accessible and written in a manner that is concise, unambiguous and understandable by a reasonable person.",Data Subject Communications,PRI-17,"Mechanisms exist to craft disclosures and communications to data subjects in a manner that is concise, unambiguous and understandable by a reasonable person.",P6.7-POF3,,,,,,,,,,,,,,"7003(a)
7004(a)(3)
7222(b)
7222(b)(1)
7222(b)(2)
7222(b)(3)
7222(b)(3)(A)
7222(b)(4)
7222(b)(4)(A)
7222(c)
7222(c)(1)
7222(c)(2)
7222(c)(2)(A)
7222(c)(2)(B)
7222(c)(2)(C)
7222(d)
7222(e)
7222(f)
7222(g)
7222(h)
7222(i)
7222(j)
7222(k)",,,,,,,,,59.1-577.B.2,,,,,,,,
1.9,Conspicuous Link To Data Privacy Notice,Design websites and mobile applications to include a conspicuous link to the organization's data privacy notice.,Conspicuous Link To Data Privacy Notice,PRI-17.1,Mechanisms exist to include a conspicuous link to the organization's data privacy notice on all consumer-facing websites and mobile applications.,,,,,,,,,,,,,,,"7003(c)
7003(d)",,,,,,,,,,,,,,,,,
1.10,Notice of Financial Incentive,"Provide data subjects with a Notice of Financial Incentive that explains the material terms of a financial incentive, price or service difference so the data subject can make an informed decision about whether to participate.",Notice of Financial Incentive,PRI-17.2,"Mechanisms exist to provide data subjects with a Notice of Financial Incentive that explains the material terms of a financial incentive, price or service difference so the data subject can make an informed decision about whether to participate.",,,,,,,,,,,,,,,"7010(g)
7080(e)",,,,,,,,,,,,,,,,,
2,Data Subject Participation,"Data subjects are directly involved in the decision-making process regarding the fair and lawful processing of the individual’s personal data and, to the extent practicable, directly-engaged to receive explicit permission to use their personal data.",Choice & Consent,PRI-03,"Mechanisms exist to enable data subjects to authorize the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of their Personal Data (PD), where prior to collection the data subject is provided with:
(1) Plain language to illustrate the potential data privacy risks of the authorization; 
(2) A means for users to decline the authorization; and
(3) All necessary choice and consent-related criteria required by applicable statutory, regulatory and contractual obligations.
","P2.0
P2.1
P2.1-POF1
P2.1-POF2
P2.1-POF3
P2.1-POF5
P2.1-POF6
P3.2
P3.2-POF2","2(e)
4(a)
5","3.2.1
3.2.2
3.2.3
3.2.4",,6.2,"CT.PO-P1
CT.PO-P3",PT-4,PT-4,,"1
4(a)","II.2.a
II.2.c",,"164.506(b)(1)
164.508(a)(2)
164.508(c)(1)(v)
164.508(c)(3)
164.510(b)(2)(i)
164.510(b)(2)(ii)
164.510(b)(2)(iii)
164.510(b)(3)
164.514(f)(2)(ii)
164.514(f)(2)(iv)
164.514(f)(2)(v)",,"7002(e)
7010(b)
7012(a)
7012(b)
7012(c)
7012(d)
7012(e)
7012(e)(1)
7012(e)(2)
7012(e)(3)
7012(e)(4)
7012(e)(5)
7012(e)(6)
7027(c)
7027(d)","6-1-1306(1)
6-1-1306(1)(a)(I)(A)
6-1-1306(1)(a)(I)(B)
6-1-1306(1)(a)(I)(C)
6-1-1306(1)(a)(II)
6-1-1306(1)(a)(III)
6-1-1306(1)(a)(IV)(A)
6-1-1306(1)(a)(IV)(B)
6-1-1306(1)(a)(IV)(C)",15(b)(3),,,,"5(2)(b)
5(2)(c)","47-18-3203(a)(2)(E)
47-18-3203(b)
47-18-3204(a)(6)",,"59.1-578.A.5
59.1-578.D",,"21.1
21.2
21.3
21.4
21.5
21.6
7.1
7.2
9.2(a)","10.1
15.1
24.1
25.1
25.2
25.3
26
5.1",APP Part 3,APP 3,"4(1)(a)
6(1)
6(10)
6(3)
6(7)
7(a)
7(b)(i)
8(8)(b)",,"Sec 6
Sec 7
Principle 3"
2.1,Clear Choices,"Provide clear and conspicuous choices that enable an individual, or a person authorized by the individual, to permit or prohibit the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of the individual’s personal data. This is also referred to as the right to ""opt out.""",Choice & Consent,PRI-03,"Mechanisms exist to enable data subjects to authorize the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of their Personal Data (PD), where prior to collection the data subject is provided with:
(1) Plain language to illustrate the potential data privacy risks of the authorization; 
(2) A means for users to decline the authorization; and
(3) All necessary choice and consent-related criteria required by applicable statutory, regulatory and contractual obligations.
","P2.0
P2.1
P2.1-POF1
P2.1-POF2
P2.1-POF3
P2.1-POF5
P2.1-POF6
P3.2
P3.2-POF2","2(e)
4(a)
5","3.2.1
3.2.2
3.2.3
3.2.4",,6.2,"CT.PO-P1
CT.PO-P3",PT-4,PT-4,,"1
4(a)","II.2.a
II.2.c",,"164.506(b)(1)
164.508(a)(2)
164.508(c)(1)(v)
164.508(c)(3)
164.510(b)(2)(i)
164.510(b)(2)(ii)
164.510(b)(2)(iii)
164.510(b)(3)
164.514(f)(2)(ii)
164.514(f)(2)(iv)
164.514(f)(2)(v)",,"7002(e)
7010(b)
7012(a)
7012(b)
7012(c)
7012(d)
7012(e)
7012(e)(1)
7012(e)(2)
7012(e)(3)
7012(e)(4)
7012(e)(5)
7012(e)(6)
7027(c)
7027(d)","6-1-1306(1)
6-1-1306(1)(a)(I)(A)
6-1-1306(1)(a)(I)(B)
6-1-1306(1)(a)(I)(C)
6-1-1306(1)(a)(II)
6-1-1306(1)(a)(III)
6-1-1306(1)(a)(IV)(A)
6-1-1306(1)(a)(IV)(B)
6-1-1306(1)(a)(IV)(C)",15(b)(3),,,,"5(2)(b)
5(2)(c)","47-18-3203(a)(2)(E)
47-18-3203(b)
47-18-3204(a)(6)",,"59.1-578.A.5
59.1-578.D",,"21.1
21.2
21.3
21.4
21.5
21.6
7.1
7.2
9.2(a)","10.1
15.1
24.1
25.1
25.2
25.3
26
5.1",APP Part 3,APP 3,"4(1)(a)
6(1)
6(10)
6(3)
6(7)
7(a)
7(b)(i)
8(8)(b)",,"Sec 6
Sec 7
Principle 3"
2.2,Initial Consent,"Prior to the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of the individual’s personal data, the knowledge and consent of the individual are required.",Choice & Consent,PRI-03,"Mechanisms exist to enable data subjects to authorize the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of their Personal Data (PD), where prior to collection the data subject is provided with:
(1) Plain language to illustrate the potential data privacy risks of the authorization; 
(2) A means for users to decline the authorization; and
(3) All necessary choice and consent-related criteria required by applicable statutory, regulatory and contractual obligations.
","P2.0
P2.1
P2.1-POF1
P2.1-POF2
P2.1-POF3
P2.1-POF5
P2.1-POF6
P3.2
P3.2-POF2","2(e)
4(a)
5","3.2.1
3.2.2
3.2.3
3.2.4",,6.2,"CT.PO-P1
CT.PO-P3",PT-4,PT-4,,"1
4(a)","II.2.a
II.2.c",,"164.506(b)(1)
164.508(a)(2)
164.508(c)(1)(v)
164.508(c)(3)
164.510(b)(2)(i)
164.510(b)(2)(ii)
164.510(b)(2)(iii)
164.510(b)(3)
164.514(f)(2)(ii)
164.514(f)(2)(iv)
164.514(f)(2)(v)",,"7002(e)
7010(b)
7012(a)
7012(b)
7012(c)
7012(d)
7012(e)
7012(e)(1)
7012(e)(2)
7012(e)(3)
7012(e)(4)
7012(e)(5)
7012(e)(6)
7027(c)
7027(d)","6-1-1306(1)
6-1-1306(1)(a)(I)(A)
6-1-1306(1)(a)(I)(B)
6-1-1306(1)(a)(I)(C)
6-1-1306(1)(a)(II)
6-1-1306(1)(a)(III)
6-1-1306(1)(a)(IV)(A)
6-1-1306(1)(a)(IV)(B)
6-1-1306(1)(a)(IV)(C)",15(b)(3),,,,"5(2)(b)
5(2)(c)","47-18-3203(a)(2)(E)
47-18-3203(b)
47-18-3204(a)(6)",,"59.1-578.A.5
59.1-578.D",,"21.1
21.2
21.3
21.4
21.5
21.6
7.1
7.2
9.2(a)","10.1
15.1
24.1
25.1
25.2
25.3
26
5.1",APP Part 3,APP 3,"4(1)(a)
6(1)
6(10)
6(3)
6(7)
7(a)
7(b)(i)
8(8)(b)",,"Sec 6
Sec 7
Principle 3"
2.3,Updated Consent,"Based on changes to data privacy practices that affect the parameters of an individual's initial consent, updated consent of the individual is required to continue the collection, receiving, processing, storage, transmission, sharing, updating and/or disposal of the individual’s personal data. This is also referred to as the right to revoke or ""opt out"" at any time after the initial consent was provided.",Just-In-Time Notice & Updated Consent,PRI-03.2,"Mechanisms exist to present data subjects with a new or updated consent request to collect, receive, process, store, transmit, share, update and/or dispose Personal Data (PD) in conjunction with the data action, when:
(1) The original circumstances under which an individual gave consent have changed; or
(2) A significant amount of time has passed since an individual gave consent.","P2.1
P2.1-POF4
P3.2",,,,,"CT.PO-P1
CT.PO-P3","PT-4(2)
PT-5(1)",,,,"III.14.b.i
III.14.b.ii",,,,"7002(f)
7010(f)
7022(g)
7022(h)
7025(c)(5)
7026(k)
7027(l)
7221(i)
7221(k)","6-1-1306(1)
6-1-1306(1)(a)(I)(A)
6-1-1306(1)(a)(I)(B)
6-1-1306(1)(a)(I)(C)
6-1-1306(1)(a)(II)
6-1-1306(1)(a)(III)
6-1-1306(1)(a)(IV)(A)
6-1-1306(1)(a)(IV)(B)
6-1-1306(1)(a)(IV)(C)",,,,,,,,,,,,,APP 5,,,"Sec 6
Sec 7
Principle 3"
